,productCd,countryCd,label
420,8513101000,Egypt,Portable electrical lamps designed to function by their own source of energy: no description available at level 8
421,85131000,"Tanzania, United Republic of",- Lamps
422,85131010,"Tanzania, United Republic of",Portable electrical lamps designed to function by their own source of energy: Miner's safety lamps
423,85131090,"Tanzania, United Republic of",Portable electrical lamps designed to function by their own source of energy: Other
424,8513104000,United States of America,"PORTABLE ELECTRIC LAMPS WITH SELF-CONTAINED ENERGY SOURCE, EXCEPT FLASHLIGHTS"
425,8513102000,United States of America,FLASHLIGHTS
426,8513100000,United States of America,"PORTABLE ELECTRIC LAMPS, USING OWN SOURCE OF ENERGY (DRY BATTERY, STORAGE BATTERY, OR MAGNETO), OTHER THAN LIGHTING EQUIPMENT OF HEADING 8512"
427,8513100000,Burkina Faso,"Lampes electriques portatives, appareils d'eclairage du n 85.12 exclus"
428,8513100001,Burkina Faso,Portable electric lamp designd to function by thr own source of energy
429,8513100002,Burkina Faso,Portable electric lamp designd to function by thr own source of energy
430,85131000,Burkina Faso,Portable electrical lamps designed to function by their own source of energy
431,85131090,Uruguay,"Las demas. lamparas. lamparas electricas portatiles concebidas para funcionar con su propia fuente de energia (por ejemplo: de pilas, acumuladores, electromagneticas), excepto los aparatos de alumbrado de la partida 85.12. maquinas, aparatos y material electrico, y sus partes; aparatos de grabacion o reproduccion de sonido, aparatos de grabacion o reproduccion de imagen y sonido en television, y las partes y accesorios de estos aparatos."
432,85131010,Uruguay,"De mano, incluidas las linternas. lamparas. lamparas electricas portatiles concebidas para funcionar con su propia fuente de energia (por ejemplo: de pilas, acumuladores, electromagneticas), excepto los aparatos de alumbrado de la partida 85.12. maquinas, aparatos y material electrico, y sus partes; aparatos de grabacion o reproduccion de sonido, aparatos de grabacion o reproduccion de imagen y sonido en television, y las partes y accesorios de estos aparatos."
433,8513100000,Uzbekistan,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
434,85131010,"Venezuela, Bolivarian Republic of",De seguridad
435,8513101000,"Venezuela, Bolivarian Republic of","Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía Lamparas electricas portatiles concebidas para funcionar con su propia fuente de energia (por ejemplo: de pilas, acumuladores, electromagneticas), excepto los aparatos de alumbrado de la partida 85.12: Lámparas: De seguridad"
436,85131090,"Venezuela, Bolivarian Republic of",Las demás
437,8513109000,"Venezuela, Bolivarian Republic of","Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía Lamparas electricas portatiles concebidas para funcionar con su propia fuente de energia (por ejemplo: de pilas, acumuladores, electromagneticas), excepto los aparatos de alumbrado de la partida 85.12: Lámparas: Las demás"
438,8513109010,"Venezuela, Bolivarian Republic of",Lamparas electricas portatiles que funcionen con su propia fuente de energia: de seguridad
